SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8846,0.87026
1000,2,0.8813,0.86636
1000,3,0.9384,0.92496
1000,4,0.9384,0.9237
1000,5,0.9477,0.93818
1000,6,0.9547,0.9425
1000,7,0.9583,0.94743
1000,8,0.9616,0.94727
1000,9,0.9655,0.95607
1000,10,0.9644,0.95551
1000,20,0.9693,0.9628
1000,30,0.9734,0.9639
1000,40,0.9788,0.96725
1000,50,0.9783,0.96744
1000,60,0.9775,0.96889
1000,70,0.9772,0.96796
1000,80,0.9782,0.9691
1000,90,0.9787,0.97011
1000,100,0.9769,0.97072
1000,200,0.9776,0.96953
1000,300,0.9811,0.9702
1000,400,0.9783,0.97055
1000,500,0.9807,0.9696
1000,600,0.9794,0.97033
1000,700,0.9788,0.97028
1000,800,0.9794,0.97067
1000,900,0.9798,0.97111
1000,1000,0.9808,0.96991
