SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8178,0.80892
1000,2,0.8015,0.79016
1000,3,0.9047,0.89864
1000,4,0.9044,0.89653
1000,5,0.9254,0.91719
1000,6,0.9321,0.92449
1000,7,0.9382,0.93074
1000,8,0.9454,0.93434
1000,9,0.9528,0.94411
1000,10,0.9487,0.94042
1000,20,0.9691,0.95977
1000,30,0.9763,0.96562
1000,40,0.9797,0.97181
1000,50,0.9856,0.97379
1000,60,0.9845,0.97754
1000,70,0.9871,0.97874
1000,80,0.9859,0.97665
1000,90,0.988,0.97906
1000,100,0.988,0.97958
1000,200,0.9909,0.98251
1000,300,0.9916,0.98446
1000,400,0.9923,0.98661
1000,500,0.9888,0.98528
1000,600,0.991,0.98477
1000,700,0.99,0.98482
1000,800,0.9924,0.98597
1000,900,0.991,0.98542
1000,1000,0.9921,0.98735
