SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8903,0.85806
1000,2,0.8865,0.86711
1000,3,0.9323,0.90843
1000,4,0.9296,0.90325
1000,5,0.947,0.91607
1000,6,0.9448,0.91447
1000,7,0.9499,0.92273
1000,8,0.9526,0.92487
1000,9,0.952,0.92231
1000,10,0.9557,0.92392
1000,20,0.9635,0.93338
1000,30,0.97,0.9353
1000,40,0.9708,0.93677
1000,50,0.9713,0.93948
1000,60,0.9739,0.94038
1000,70,0.9706,0.94006
1000,80,0.9718,0.93828
1000,90,0.9711,0.93946
1000,100,0.9755,0.94144
1000,200,0.9764,0.94195
1000,300,0.9739,0.9431
1000,400,0.9743,0.94436
1000,500,0.9755,0.94613
1000,600,0.9755,0.943
1000,700,0.9763,0.94424
1000,800,0.9768,0.94389
1000,900,0.9766,0.94334
1000,1000,0.9762,0.94218
