SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8353,0.81946
1000,2,0.8223,0.79757
1000,3,0.8971,0.87354
1000,4,0.8894,0.86282
1000,5,0.916,0.893
1000,6,0.9136,0.89244
1000,7,0.9253,0.90461
1000,8,0.9273,0.91028
1000,9,0.9379,0.91489
1000,10,0.9337,0.91327
1000,20,0.9579,0.93467
1000,30,0.9626,0.94353
1000,40,0.965,0.94061
1000,50,0.9661,0.9466
1000,60,0.968,0.94551
1000,70,0.9685,0.94583
1000,80,0.9687,0.94806
1000,90,0.9709,0.95255
1000,100,0.9707,0.94875
1000,200,0.9733,0.95081
1000,300,0.9731,0.95562
1000,400,0.9726,0.9551
1000,500,0.9761,0.95162
1000,600,0.9745,0.95263
1000,700,0.9747,0.95421
1000,800,0.9723,0.95595
1000,900,0.9722,0.9534
1000,1000,0.9757,0.95356
