SampleSize,ForestSize,RF-Training%,RF-Testing%
692,1,0.81908,0.78
692,2,0.82601,0.816
692,3,0.88873,0.869
692,4,0.88642,0.871
692,5,0.9039,0.884
692,6,0.9078,0.903
692,7,0.925,0.918
692,8,0.92066,0.914
692,9,0.93569,0.94
692,10,0.93309,0.927
692,20,0.95087,0.929
692,30,0.95578,0.932
692,40,0.95621,0.937
692,50,0.95318,0.935
692,60,0.95231,0.938
692,70,0.9578,0.94
692,80,0.96055,0.934
692,90,0.95491,0.943
692,100,0.95968,0.951
692,200,0.95578,0.945
692,300,0.96127,0.939
692,400,0.96156,0.936
692,500,0.96069,0.948
692,600,0.96026,0.939
692,700,0.9604,0.94
692,800,0.95882,0.947
692,900,0.95997,0.942
692,1000,0.96098,0.932
