SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8727,0.86117
1000,2,0.8741,0.8536
1000,3,0.9491,0.93495
1000,4,0.9514,0.93927
1000,5,0.9627,0.95925
1000,6,0.9695,0.9581
1000,7,0.9884,0.98148
1000,8,0.9782,0.97266
1000,9,0.9874,0.97899
1000,10,0.9879,0.9823
1000,20,0.9948,0.98884
1000,30,0.9977,0.99404
1000,40,0.9982,0.99533
1000,50,0.9991,0.9971
1000,60,0.9989,0.99603
1000,70,0.9994,0.99766
1000,80,0.9995,0.99828
1000,90,0.9991,0.99856
1000,100,0.9999,0.99758
1000,200,0.9999,0.99894
1000,300,0.9998,0.99872
1000,400,1,0.99868
1000,500,0.9999,0.99898
1000,600,0.9998,0.99944
1000,700,0.9996,0.99846
1000,800,0.9999,0.99958
1000,900,0.9997,0.99839
1000,1000,1,0.99936
