SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8405,0.81457
1000,2,0.8165,0.79208
1000,3,0.9093,0.88932
1000,4,0.9076,0.88565
1000,5,0.9352,0.9199
1000,6,0.9268,0.90794
1000,7,0.9407,0.91534
1000,8,0.9438,0.92221
1000,9,0.9491,0.93395
1000,10,0.9515,0.93395
1000,20,0.9703,0.95366
1000,30,0.9768,0.95786
1000,40,0.9812,0.96411
1000,50,0.9835,0.9654
1000,60,0.9857,0.96635
1000,70,0.9857,0.96946
1000,80,0.9862,0.97121
1000,90,0.9873,0.96956
1000,100,0.9867,0.97046
1000,200,0.9895,0.97373
1000,300,0.9892,0.97309
1000,400,0.9916,0.97529
1000,500,0.9928,0.97525
1000,600,0.9926,0.9768
1000,700,0.993,0.97835
1000,800,0.994,0.9772
1000,900,0.994,0.9778
1000,1000,0.9927,0.97542
