SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8551,0.84269
1000,2,0.8277,0.80917
1000,3,0.8981,0.88315
1000,4,0.9114,0.89042
1000,5,0.9238,0.90488
1000,6,0.9258,0.90482
1000,7,0.9433,0.92368
1000,8,0.9459,0.92729
1000,9,0.9557,0.93555
1000,10,0.947,0.93073
1000,20,0.9694,0.95044
1000,30,0.9791,0.95812
1000,40,0.9822,0.96455
1000,50,0.9835,0.96653
1000,60,0.9845,0.96738
1000,70,0.9858,0.96785
1000,80,0.9901,0.97083
1000,90,0.9895,0.97206
1000,100,0.989,0.96907
1000,200,0.9925,0.97489
1000,300,0.9926,0.97675
1000,400,0.9913,0.9762
1000,500,0.9934,0.97721
1000,600,0.9938,0.97828
1000,700,0.9927,0.97766
1000,800,0.9934,0.97729
1000,900,0.9924,0.97749
1000,1000,0.9928,0.97694
