SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.8418,0.84048
1000,2,0.8775,0.86585
1000,3,0.9173,0.91088
1000,4,0.9179,0.91243
1000,5,0.9274,0.92313
1000,6,0.933,0.92445
1000,7,0.9378,0.92851
1000,8,0.933,0.92791
1000,9,0.9387,0.93124
1000,10,0.9391,0.93461
1000,20,0.9482,0.93711
1000,30,0.9485,0.94035
1000,40,0.9514,0.94381
1000,50,0.9458,0.94153
1000,60,0.9504,0.94044
1000,70,0.9561,0.94321
1000,80,0.951,0.9454
1000,90,0.9541,0.9454
1000,100,0.9506,0.93907
1000,200,0.9558,0.9475
1000,300,0.9551,0.9434
1000,400,0.9553,0.94467
1000,500,0.9593,0.95118
1000,600,0.9574,0.94522
1000,700,0.9567,0.94654
1000,800,0.9563,0.94167
1000,900,0.9592,0.94517
1000,1000,0.9586,0.94658
