SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.6599,0.6282
1000,2,0.6567,0.61885
1000,3,0.7263,0.67992
1000,4,0.7356,0.68222
1000,5,0.7698,0.71607
1000,6,0.7791,0.71676
1000,7,0.7972,0.73334
1000,8,0.7959,0.73467
1000,9,0.8117,0.74892
1000,10,0.8153,0.75095
1000,20,0.8625,0.78935
1000,30,0.8788,0.80921
1000,40,0.8932,0.81381
1000,50,0.8997,0.82219
1000,60,0.9052,0.82988
1000,70,0.9072,0.83442
1000,80,0.9146,0.83479
1000,90,0.9154,0.83773
1000,100,0.9195,0.83848
1000,200,0.928,0.85057
1000,300,0.9226,0.84338
1000,400,0.9266,0.85031
1000,500,0.9295,0.85374
1000,600,0.9265,0.84934
1000,700,0.9266,0.85198
1000,800,0.9273,0.85105
1000,900,0.9349,0.8545
1000,1000,0.9287,0.85202
