SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.7514,0.727
1000,2,0.7747,0.75086
1000,3,0.8321,0.7928
1000,4,0.8219,0.7894
1000,5,0.8668,0.83262
1000,6,0.8617,0.82935
1000,7,0.8776,0.84452
1000,8,0.8804,0.84803
1000,9,0.8893,0.84941
1000,10,0.8929,0.85983
1000,20,0.9148,0.88317
1000,30,0.9225,0.89155
1000,40,0.9322,0.90055
1000,50,0.9331,0.90165
1000,60,0.9365,0.90208
1000,70,0.9346,0.90433
1000,80,0.9359,0.90459
1000,90,0.9315,0.9013
1000,100,0.9386,0.90668
1000,200,0.9398,0.91149
1000,300,0.9412,0.91039
1000,400,0.9414,0.90761
1000,500,0.9391,0.90828
1000,600,0.943,0.90783
1000,700,0.9418,0.90854
1000,800,0.9426,0.9092
1000,900,0.946,0.91068
1000,1000,0.939,0.90998
