SampleSize,ForestSize,RF-Training%,RF-Testing%
1000,1,0.9512,0.9314
1000,2,0.9543,0.93652
1000,3,0.9797,0.96782
1000,4,0.9781,0.96897
1000,5,0.9866,0.9762
1000,6,0.9861,0.97885
1000,7,0.9916,0.98408
1000,8,0.9917,0.98595
1000,9,0.9933,0.98817
1000,10,0.9935,0.98595
1000,20,0.9962,0.99054
1000,30,0.9986,0.99281
1000,40,0.9979,0.99379
1000,50,0.9978,0.99395
1000,60,0.9992,0.99422
1000,70,0.9991,0.9934
1000,80,0.9991,0.99443
1000,90,0.9993,0.99575
1000,100,0.9991,0.99436
1000,200,0.9991,0.99578
1000,300,0.9992,0.99579
1000,400,0.9995,0.99468
1000,500,0.9997,0.99517
1000,600,0.9993,0.99554
1000,700,0.9995,0.99555
1000,800,0.9998,0.99519
1000,900,0.9992,0.99585
1000,1000,0.9995,0.99517
